"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 18 21:28:17 BDT 2024","Sat May 18 21:28:55 BDT 2024","37905","All Test Suite","D:/JetBrains/WebAutomationB_23/src/test/java/testCases","testCases.TestLogin","testCases.TestLogin","testLoginWithValidCredentials","User Login with Valid Credentials","Test Add using Allure :User Login with Valid Credentials"
"broken","Sat May 18 21:26:42 BDT 2024","Sat May 18 21:26:42 BDT 2024","1","All Test Suite","D:/JetBrains/WebAutomationB_23/src/test/java/testCases","testCases.TestLogin","testCases.TestLogin","loadLogInPage","loadLogInPage",""
"passed","Sat May 18 21:28:55 BDT 2024","Sat May 18 21:28:55 BDT 2024","826","All Test Suite","D:/JetBrains/WebAutomationB_23/src/test/java/testCases","testCases.TestLogin","testCases.TestLogin","testLoginWithInValidCredentials","User Login with Invalid Credentials","Test Add using Allure :User Login with Invalid Credentials"
